Timestamp,--- Section 1: Vendor Profile ---,1. Vendor ID / Name (Optional),2. Gender,3. Age Group,4. List of all Goods/Services sold (Describe the primary items sold),5. Type of Goods Sold,6. Specific Location (Detailed intersection/landmark),7. Current Business Duration (Round Off to Nearest Year - How long have you been operating this business?),8. Primary Mode of Operation,--- Section 2: UPI Usage & Adoption History ---,9. Do you accept UPI (QR Code) payments?,10. Why did you first start using UPI? (Select all that apply),"11. Do you pay any monthly fees (e.g., Soundbox rent) or transaction charges for using UPI?","12. Out of every 10 customers, how many pay via UPI? (Estimate)","13. How often do you experience technical/network issues (e.g., transaction fails, slow network)?","--- Section 3: Sales, Volume & Management ---",14. What is the most common amount a customer pays for a single item (average ticket size)?,"15. On an average day, roughly how many total customers do you serve?",16. Is your daily collection amount generally the same every day?,17a. Earnings on the Busiest Day (Last 7 days) (Approximate figure in Rupees),17b. Earnings on the Slowest Day (Last 7 days) (Approximate figure in Rupees),"18. In the last 1 hour, how many total customers came?",19. How many of those customers (in the last hour) used UPI?,20. Is it easier to keep track of your daily earnings with UPI or Cash?,"21. Do you feel you ""save"" more money now because UPI goes directly to the bank?","22. Compared to the same time last year, how has your overall business (sales volume/revenue) changed?",--- Section 4: Perceptions & Efficiency ---,23. Has the time taken per transaction changed using UPI?,"24. Out of every 10 customers, how many pay via Cash? (Estimate)",25. How many customers (who pay in cash) do you lose in a week because you don't have change?,26. Are you worried about all your transactions being recorded digitally?,27. Do customers ever leave because the UPI payment is taking too long?,28. Which mode do you prefer for your business?,--- Section 5: Surveyor Internal Consistency Check ---,C.1 Do the buckets for UPI (Q12) and Cash (Q24) sum to approximately 10?,"C.2 If the vendor said business is 'Very Steady,' is the difference between Busiest and Slowest day less than 30%?",C.3 Does the ratio of UPI users in the last hour (Q18/Q19) fall within the general day bucket (Q12)?,C.4 Was a QR code physically visible and reachable?,C.5 General atmosphere during interview:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-5-2026 20:07:43,1,Banik Bags,Male,60+,Bags,"Non-Perishables (e.g., clothes, small electronics, repair services)","Dunlop Bridge, besides Khadim",7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Was a good innovation when introduced.,No (Free),0-2,Rarely (Less than once a month),3,?100-?500,4-5,Very Unsteady (Collections vary greatly),12000,600,2,0,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,Slower (due to network/verification),9-10,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-5-2026 20:24:25,1,Sourav Adak (Flury's),Male,18-29,Snacks and desserts (confectionery items),"Perishables (e.g., fruits, vegetables, cooked food)",Dunlop ,4 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Other vendors were using it",Yes (small charge per sale/transaction),9-10,Rarely (Less than once a month),3,?100-?500,7,Somewhat Fluctuating,20000,5000,5,2,UPI (Bank record helps),"Yes, it helps me save more",Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),,Slightly different,Clearly Visible,Cooperative
4-5-2026 20:32:31,1,Ganga Roy,Male,45-59,Sungarcane Juice,"Perishables (e.g., fruits, vegetables, cooked food)",Outside Ajanta Footwear(Dunlop),11,Mobile Cart (Thela/Rehri),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),3-5,Rarely (Less than once a month),3,?20-?100,30-40,Very Unsteady (Collections vary greatly),1500,450,4,2,Cash (Physical count is better),No difference in saving habits,Stayed the Same,4,Faster with UPI,6-8,3-5,Neutral/Don't care,Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-5-2026 20:36:34,1,Sambhu (flower shop),Male,45-59,Flower,"Perishables (e.g., fruits, vegetables, cooked food)",Near KFC,30,Permanent Stall (Pucca/Semi-Pucca structure),2,No,No,No (Free),0-2,Rarely (Less than once a month),3,?20-?100,40-50,Very Unsteady (Collections vary greatly),3500,1500,20-25,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,No change,9-10,Na,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,None found (Vendor stated they don't accept UPI),Cooperative
4-5-2026 20:41:06,1,Diamond infotech,Male,45-59,Electronics,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite to yadav snacks ,3,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,5,Somewhat Fluctuating,4000,100,0,0,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,Slower (due to network/verification),3-5,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Very defensive and reluctant 
4-5-2026 20:51:10,1,Jeetu,Male,45-59,Fruits ,"Perishables (e.g., fruits, vegetables, cooked food)",Kfc,21,Permanent Stall (Pucca/Semi-Pucca structure),2,No,Na,No (Free),0-2,Rarely (Less than once a month),3,?20-?100,Fluctuating ,Very Unsteady (Collections vary greatly),Not answering ,Not answering ,4,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,No change,9-10,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,None found (Vendor stated they don't accept UPI),Incentive based cooperation
4-5-2026 20:51:11,1,Divine Stores,Male,45-59,Stationery,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite Baskin Robins (Dunlop),25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),3-5,Monthly,3,?20-?100,NA,Very Unsteady (Collections vary greatly),NA,NA,10-20,4,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,No change,6-8,10,Neutral/Don't care,Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Suspicious
4-5-2026 20:57:27,1,,Male,60+,Pani puri,"Non-Perishables (e.g., clothes, small electronics, repair services)",Pani puri stall beside gadget house,40,Mobile Cart (Thela/Rehri),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),3-5,Daily,3,?20-?100,85,Somewhat Fluctuating,1000,850,10,4,No difference,"Yes, it helps me save more",Declined (20%+ decrease),4,Faster with UPI,6-8,3-5,"No, I am not worried",Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-5-2026 20:58:09,1,Gurunanak Stores,Male,45-59,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opoosite Apollo Pharmacy (Dunlop),26,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Monthly,3,?100-?500,10,Very Steady (Collections are consistent),NA,NA,3,2,No difference,No difference in saving habits,Stayed the Same,4,Faster with UPI,3-5,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Suspicious
